SH,D49876,Amazon.com,"Antelope, Sumner",4/17/2018,Miscellaneous,"$227.19 ","phone and iPad accessories",
MM,D49877,Amazon.com,18-0828,4/17/2018,Miscellaneous,"$20.28 ","USB Wifi adapter",
MM,D49878,Bridgetech,"SEA / Corp",02/09/2018,"Software Subscription","$5,824.35 ","office 365 subscription and WAN optimization for Wilsonville / Sumner",
MM,D49879,Bridgetech,"SEA / Corp",03/01/2018,"Software Subscription","$5,740.35 ","office 365 subscription and WAN optimization for Wilsonville / Sumner",
SH,D49880,VMWare,Corporate,4/23/2018,Software,,"Fusion 10 for Mac - Sean Hudson",
SH,D49881,Amazon.com,"Special Projects",4/20/2018,Miscellaneous,"$130.09 ","Docking station for Ben Kirkup",
SH,D49882,Amazon.com,"Spokane office",4/20/2018,Miscellaneous,"$43.48 ","Keyboard for Julie Chase",
SH,D49883,"Apple Store","Eugene - Upstream PRN 5/6",4/19/2018,Miscellaneous,"$24.99 ","Construction Master Pro app for Justin Herring",
SH,D49884,Amazon.com,"Corporate inventory",4/18/2018,Miscellaneous,"$274.22 ","Corporate inventory, Laptop bags, Kybd/mouse combos, ",
SH,D49885,Amazon.com,"New Mexico Alan Chavez",4/17/2018,Miscellaneous,"$439.38 ","2 displays with cables for Alan Chavez in New Mexico",
SH,D49886,Amazon.com,"Sumner office",4/23/2018,Miscellaneous,"$109.75 ","S7 cases for Sumner phone deployments",
MM,D49887,Bridgetech,Corp,3/26/2018,Helpdesk,"$2,142.22 ","Prorated February helpdesk subscription",
MM,D49888,Bridgetech,"EUG / SEA / Corp",3/26/2018,"Software Subscription","$6,331.99 ","Bigleaf - Sumner, Wilsonville, Eugene and O365 subscription for March",
SR,D49889,Amazon.com,Corp,4/23/2018,Miscellaneous,"$33.99 ","1x Logitech G230 Stereo Gaming Headset for Jeff Feucht",
TS,D49890,SHI,Corp,4/23/2018,Software,"$4,398.30 ","10 bluebeam licenses with enterprise and maintenance",
SR,D49891,Amazon.com,17-0497,4/23/2018,Miscellaneous,"$174.40 ","4x OtterBox Utility Series Latch II Cases with Accessory Bag (10"" Tablet)",
MM,D49892,Bridgetech,Corp,3/26/2018,Helpdesk,"$9,997.00 ","Bridgetech hosted helpdesk - March",
MM,D49893,Bridgetech,Corp,4/16/2018,Helpdesk,"$6,665.00 ","Bridgetech hosted helpdesk - Prorated April",
MM,D49894,Bridgetech,"SEA / EUG / CORP",4/16/2018,"Software Subscription","$6,219.99 ","O365 subscription April / Bigleaf SEA / EUG / CORP",
TS,D49895,SHI,SEA,4/24/2018,"Computer (Laptop, Desktop or Tablet)","$1,695.15 ","T580 Laptop, with warranty and dock for Marty Cope",
SH,D49896,SHI,"Building Cure project #17-0545",4/24/2018,"Computer (Laptop, Desktop or Tablet)","$715.02 ","Small desktop for conference room",
MM,D49897,Lightwerks,18-0758,4/24/2018,AV,"$1,351.25 ","Crestron HDMI extender kits for Sumner conference room",
MM,D49898,Lightwerks,Portland,4/24/2018,AV,"$1,082.36 ","Mersive Solstice Pod for downstairs meeting room",
MM,D49899,Amazon.com,Portland,4/25/2018,AV,"$918.82 ","Samsung LCD, Roku Express, LCD Mount",
SH,D49900,Amazon.com,"Corporate inventory",4/24/2018,Miscellaneous,"$55.88 ","Phone belt clips",
SH,D49901,Amazon.com,"Upstream PRN 5/6",4/25/2018,Miscellaneous,"$16.98 ","Floor cable manager",
SH,D49902,Amazon.com,"New Mexico - Alan Chavez",4/25/2018,Miscellaneous,"$133.46 ","Display adapters and cables",
SH,D49903,Amazon.com,"Building Cure project #17-0545",4/25/2018,Miscellaneous,"$940.10 ","Conference room display hardware",
SR,D49904,Amazon.com,"17-0594 Seattle Asian Art Museum",4/26/2018,Miscellaneous,"$20.00 ","1x Otterbox Defender Case for Samsung Galaxy S7",
MM,D49905,Zones,"SEA, Portland, Corp",4/26/2018,Software,"$2,999.16 ","Adobe Subscription renewal for Teams",
TS,D49906,SHI,"Reno -Nate H.",4/26/2018,"Computer (Laptop, Desktop or Tablet)","$2,254.98 ","t480s with warranty and dock for Nate H.",
GR,D49907,Amazon.com,"17-0664 PCC CDC",4/26/2018,Miscellaneous,"$31.39 ","Monitor Stand",
TS,D49908,SHI,17-0545,4/27/2018,"Computer (Laptop, Desktop or Tablet)","$2,853.28 ","Lenovo x1 yoga with warranty and 2 docks for Megan Boatman",
SR,D49909,Amazon.com,Spokane,4/27/2018,Miscellaneous,"$98.50 ","1x Lenovo ThinkPad T570 LCD Screen",
GR,D49910,Amazon.com,"18-0828 Upstream PRN 5/6",4/27/2018,Miscellaneous,"$20.00 ","S& Case",
SR,D49911,Amazon.com,Portland,4/27/2018,Miscellaneous,"$39.95 ","1x Razer Kraken USB Over Ear PC and Music Headset for Carlos Mesa",
MM,D49912,Amazon.com,17-0609,4/30/2018,"Computer (Laptop, Desktop or Tablet)","$190.97 ","Azulle Stick PC and wireless combo for jobsite",
MM,D49913,Bridgetech,Corp,19/04/2018,"Software Subscription","$779.00 ","3/19-4/19 Azure Usage - ADFS infrastructure",
GR,D49914,Amazon.com,"Block 25 17-0422",5/1/2018,Miscellaneous,"$85.93 ","Otterbox case and latch for iPad",
DG,D49915,Bridgetech,"Multiple, see PO form",4/29/2018,"Firewall renewals","$1,276.00 ","Firewall renewal coterms",
DG,D49916,Bridgetech,"Multiple, see PO form",4/15/2018,"Network security","$8,077.41 ","Firewall renewal coterms, virtual firewall, wireless access points",
DG,D49917,Bridgetech,Corp,4/14/2018,Consulting,"$7,042.75 ","ADFS consulting work",
TS,D49918,Amazon.com,"PDX, Corp",5/1/2018,Miscellaneous,"$44.97 ","power cable for desks, coffee for IT",
